,Unnamed: 0,textID,text,sentiment,norm_obj_score,norm_mixed_score,norm_pos_score,norm_neg_score,norm_final_score,pred_sent
0,5415,58674a6d03,is ready for a productive friday. one of the last of the year,positive,0.337489515542984,4.1880830394802615e-05,0.64102703332901,0.02144155465066433,0.6195854786783457,positive
1,10421,818480ecfc, I couldn`t get used to the columns in tweetdeck.  There was only room for 4 or 5 columns on my macbook.,neutral,0.06812205165624619,5.036500078858808e-05,0.013989130966365337,0.9178383946418762,-0.9038492636755109,negative
2,7985,c7ff724662,Just got done watching Bedtime Stories! Love that movie!,positive,0.006337898317724466,3.4581744330353104e-06,0.9932519793510437,0.0004066130786668509,0.9928453662723769,positive
3,13728,c7b78c1b26,"btw , , , and , i ordered some of yer merch yesterday.!  <33333333333",positive,0.6840142607688904,4.276801519154105e-06,0.3154444098472595,0.0005370965227484703,0.31490731332451105,neutral
4,22378,84c5466055,Feels all kinds of not so well right now,negative,0.03280799090862274,0.16039596498012543,0.022581586614251137,0.7842145562171936,-0.7616329696029425,negative
5,12544,a3e2b9ffd2, waah. We`re no longer your peeps.,neutral,0.5167722702026367,0.002747992752119899,0.20819678902626038,0.27228301763534546,-0.06408622860908508,neutral
6,1523,17e6c97023, what? You won`t be two blocks away any more?,neutral,0.7152835726737976,7.034368900349364e-05,0.03021465614438057,0.25443148612976074,-0.22421682998538017,neutral
7,20946,aa43fdcef2, funny you should say...am filling it out as we speak ;) cheers!,positive,0.00694907596334815,2.2387244825949892e-05,0.9924210906028748,0.0006075388519093394,0.9918135517509654,positive
8,19143,5ca9a346d6," going through your tweets right now, probably missed all the good ones in the last 4 hours",neutral,0.21374434232711792,0.48563164472579956,0.20501312613487244,0.09561086446046829,0.10940226167440414,mixed
9,15454,63909798fe, besides when u come and visit ill have more room for u!,neutral,0.07834964245557785,2.8820393254136434e-06,0.9190660119056702,0.002581520238891244,0.9164844916667789,positive
10,13764,43fc60ce13,would like a hug and a kiss from Eric. Long distances really really stink,negative,0.2236296385526657,0.04749854654073715,0.6455840468406677,0.08328774571418762,0.5622963011264801,positive
11,16220,f631826b87,Still hating the whole Twitter replies thing. I feel like I`m missing bits.  #fixreplies,negative,0.01905614696443081,1.5089707403603825e-06,0.0004220767877995968,0.9805203080177307,-0.9800982312299311,negative
12,8939,4a0d92c598, mon ami since 5 years young  I loveeee her. Foreverrr,positive,0.00350718735717237,1.6198528101085685e-06,0.9964200258255005,7.119530346244574e-05,0.996348830522038,positive
